"Nom","Prenom","Poste","Photo","Equipe","Selection","Nationalite","Championnat"
"Bahlouli","Fares","MOC","http://2015.sofifa.org/15/players/60/214907.png","Olympique Lyonnais",,"France","Ligue 1"
"Lacazette","Alexandre","BU","http://2015.sofifa.org/15/players/60/193301.png","Olympique Lyonnais","France","France","Ligue 1"
"Benzia","Yassine","BU","http://2015.sofifa.org/15/players/60/206436.png","Olympique Lyonnais",,"France","Ligue 1"
"Grenier","Clement","MOC","http://2015.sofifa.org/15/players/60/187924.png","Olympique Lyonnais","France","France","Ligue 1"
"Gonalons","Maxime","MDC","http://2015.sofifa.org/15/players/60/193116.png","Olympique Lyonnais","France","France","Ligue 1"
"Umtiti","Samuel","DC","http://2015.sofifa.org/15/players/60/205600.png","Olympique Lyonnais",,"France","Ligue 1"
"Fekir","Nabil","MOC","http://2015.sofifa.org/15/players/60/216594.png","Olympique Lyonnais",,"France","Ligue 1"
"Gourcuff","Yoann","MOC","http://2015.sofifa.org/15/players/60/153296.png","Olympique Lyonnais",,"France","Ligue 1"
"Fofana","Gueida","MC","http://2015.sofifa.org/15/players/60/188816.png","Olympique Lyonnais",,"France","Ligue 1"
"Lopes","Anthony","G","http://2015.sofifa.org/15/players/60/199482.png","Olympique Lyonnais","Portugal","Portugal","Ligue 1"
"Ferri","Jordan","MC","http://2015.sofifa.org/15/players/60/206306.png","Olympique Lyonnais",,"France","Ligue 1"
"Bedimo","Henri","DG","http://2015.sofifa.org/15/players/60/150565.png","Olympique Lyonnais","Cameroun","Cameroun","Ligue 1"
"N'Jie","Clinton","AID","http://2015.sofifa.org/15/players/60/212273.png","Olympique Lyonnais","Cameroun","Cameroun","Ligue 1"
"Yattara","Mohamed","BU","http://2015.sofifa.org/15/players/60/207640.png","Olympique Lyonnais",,"Guinee","Ligue 1"
"Tolisso","Corentin","MC","http://2015.sofifa.org/15/players/60/219683.png","Olympique Lyonnais",,"France","Ligue 1"
"Mvuemba","Arnold","MC","http://2015.sofifa.org/15/players/60/153298.png","Olympique Lyonnais",,"France","Ligue 1"
"Labidi","Zakarie","MOC",,"Olympique Lyonnais",,"France","Ligue 1"
"Rose","Lindsay","DC","http://2015.sofifa.org/15/players/60/199464.png","Olympique Lyonnais",,"France","Ligue 1"
"Gorgelin","Mathieu","G","http://2015.sofifa.org/15/players/60/199721.png","Olympique Lyonnais",,"France","Ligue 1"
"Jallet","Christophe","DD","http://2015.sofifa.org/15/players/60/150590.png","Olympique Lyonnais",,"France","Ligue 1"
"Zeffane","Mehdi","DD","http://2015.sofifa.org/15/players/60/207745.png","Olympique Lyonnais",,"France","Ligue 1"
"Ghezzal","Rachid","AIG","http://2015.sofifa.org/15/players/60/210372.png","Olympique Lyonnais",,"France","Ligue 1"
"Kone","Bakari","DC","http://2015.sofifa.org/15/players/60/183766.png","Olympique Lyonnais",,"Burkina Faso","Ligue 1"
"Dabo","Mouhamadou","DG","http://2015.sofifa.org/15/players/60/168630.png","Olympique Lyonnais",,"France","Ligue 1"
"Danic","Gael","MC","http://2015.sofifa.org/15/players/60/41835.png","Olympique Lyonnais",,"France","Ligue 1"
"Bisevac","Milan","DC","http://2015.sofifa.org/15/players/60/178111.png","Olympique Lyonnais",,"Serbie","Ligue 1"
"Shin","Kim","BU","http://2015.sofifa.org/15/players/60/221763.png","Olympique Lyonnais",,"Coree du Sud","Ligue 1"
"Kone","Sidy","MDC","http://2015.sofifa.org/15/players/60/204877.png","Olympique Lyonnais",,"Mali","Ligue 1"
"Frick","Jeremy","G","http://2015.sofifa.org/15/players/60/206307.png","Olympique Lyonnais",,"Suisse","Ligue 1"
"Malbranque","Steed","MC","http://2015.sofifa.org/15/players/60/18919.png","Olympique Lyonnais",,"France","Ligue 1"
"N'Gouma","Romaric","DC",,"Olympique Lyonnais",,"France","Ligue 1"
"Paye","Mour","AID",,"Olympique Lyonnais",,"France","Ligue 1"
"Defourny","Theo","G",,"Olympique Lyonnais",,"Belgique","Ligue 1"
"Areola","Alphonse","G","http://2015.sofifa.org/15/players/60/193105.png","SC Bastia",,"France","Ligue 1"
"Ongenda","Hervin","AIG","http://2015.sofifa.org/15/players/60/213702.png","SC Bastia",,"France","Ligue 1"
